w1,w2,res
มา,กก,มาก
แล้,วว,แล้ว
เด้,ออ,เด้อ
อี,กก,อีก
ร้า,กก,รัก
เอ,งง,เอง
บ้า,งง,บ้าง
ล้า,วว,แล้ว
แม่,งง,แม่ง
รี้,ดด,รี้ด
ร๊า,กก,รัก
แจ,กก,แจก
อี้,กก,อีก
พลี,สส,พลีส
ไห,วว,ไหว
ห้า,ยย,ให้
เก่,งง,เก่ง
แย้,วว,แล้ว
กู,วว,กู
อ้า,วว,อ้าว
ม้า,ยย,ไม่
แว้,วว,แล้ว
อี๊,กก,อีก
ว้า,วว,ว้าว
หู,ยย,หูย
โอ้,วว,โอ้ว
เอ็นดู,วว,เอ็นดู
อ้า,กก,อ้าก
ป่า,วว,ป่าว
เอ้,ออ,เอ้อ
แก,รร,แก
ลู๊,กก,ลูก
อ่,ออ,อ่อ
หอ,มมาก,หอม.มาก
มึ้,งง,มึง
ดี,ยย์,ดี
อม,กก,อมก
อ,ร๊ายย,อร๊าย
กี้,ดด,กรี๊ด
นุ,กก,นุก
รู้,กก,ลูก
จา,ยย,ใจ
สา,สส,สัส
อ๊า,กก,อ๊าก
ออ,กก,ออก
บั้ม,ออ,บั้ม
แบ,มม,แบม
แม่,มม,แม่ง
แล๊,วว,แล้ว
ยา,วว,ยาว
อิเว,งง,อีเวร
หู,วว,หูว
ด้วย,น๊าา,ด้วย.นะ
ม้า,งง,มั้ง
เจ,ออ,เจอ
ใจมา,กก,ใจ.มาก
เว,งง,เวร
ม้า,กก,มาก
ผ่า,มม,ผ่าม
โอ่,ยย,โอ้ย
กี้,สส,กรี๊ด
เน่,วว,เน่ว
รึ,กก,ลูก
จี,งง,จริง
น้,ออ,น้อง
รุ,กก,ลูก
อยาก,ดั้ยย,อยาก.ได้
มุ,งง,มึง
ย๊า,กก,ย๊าก
เว่อร์,ออ,เว่อร์
บอ,กก,บอก
วู้,วว,วู้ว
หน,ออ,หนอ
เท,ออ,เธอ
พ่อ,งง,พ่อมึง
เห้อ,มม,เห้อม
จา,งง,จัง
แอ,ร๊ยย,แอร๊ย
เร้,วว,เร็ว
ล้อ,งง,ร้อง
เอ๊,งง,เอง
เง้,ออ,เง้อ
หู้,วว,หูว
กรี๊,สส,กรี๊ด
ยา,กก,ยาก
กี๊,ดด,กรี๊ด
ยู,วว,ยู
ล่า,ยย,ได้
สู้,วว,สู้
มี,มม,มีม
โห,วว,โห
ไปมา,กก,ไป.มาก
ดี,ยย,ดี
หิ๊,วว,หิว
ทำ,ม๊ายย,ทำไม
แง้,งง,แง
เลย,จย้าา,เลย.จ้า
ไฟ,แนน,ไฟแน๊นซ์
โห,น่ยย,หน่อย
กุ,งง,กู.งง
ช้า,งง,ช้าง
หรอ,กก,หรอก
แล้ว,งง,แล้ว
ล๊า,วว,แล้ว
น,กก,นก
โถ,วว,โถ่
ช,มมาก,ชม.มาก
มาร,์คคึ,มาร์ค
แอ,คค,แอค
ว้า,กก,ว้าก
รู้,วว,รู้
ได้,ยย,ได้
กริ้,สส,กรี๊ด
เรื่อ,งง,เรื่อง
บา,ทท,บาท
ช,หห,ชิปหาย
โน,วว,โน
เพี้ย,งง,เพี้ยง
เหย,ดด,เหยด
วิ,ลล์,วิล
แล่,วว,แล้ว
แก,รร๊,แก
ให้,ออ,ให้.เหรอ
ล้า,กก,รัก
ฝา,กก,ฝาก
นะ,คับบ,นะ.ครับ
ก่อ,ยย,ก่อน
